Date,State,covid.states.cases,covid.states.confirmed_rate_per_100k,covid.states.daily_change_confirmed_cases,covid.states.deaths,covid.states.deaths_rate_per_100k,covid.states.growth_rate_confirmed_cases,covid.states.growth_rate_deaths,covid.states.hospitalizedCurrently,covid.states.monthly_change_confirmed_cases,covid.states.monthly_change_deaths,covid.states.monthly_cumulative_change_in_confirmed_cases_percent,covid.states.monthly_cumulative_change_in_deaths_percent,covid.states.negative,covid.states.percent_pop_confirmed_cases,covid.states.percent_pop_deaths,covid.states.positive,covid.states.weekly_change_confirmed_cases,covid.states.weekly_change_deaths,covid.states.weekly_cumulative_change_in_confirmed_cases_percent,covid.states.weekly_cumulative_change_in_deaths_percent
2020-01-21,AL,,,,,,,,,,,,,,,,,,,,
2020-01-22,AL,,,,,,,,,,,,,,,,,,,,
2020-01-23,AL,,,,,,,,,,,,,,,,,,,,
2020-01-24,AL,,,,,,,,,,,,,,,,,,,,
2020-01-25,AL,,,,,,,,,,,,,,,,,,,,
2020-01-26,AL,,,,,,,,,,,,,,,,,,,,
2020-01-27,AL,,,,,,,,,,,,,,,,,,,,
2020-01-28,AL,,,,,,,,,,,,,,,,,,,,
2020-01-29,AL,,,,,,,,,,,,,,,,,,,,
2020-01-30,AL,,,,,,,,,,,,,,,,,,,,
2020-01-31,AL,,,,,,,,,,,,,,,,,,,,
2020-02-01,AL,,,,,,,,,,,,,,,,,,,,
2020-02-02,AL,,,,,,,,,,,,,,,,,,,,
2020-02-03,AL,,,,,,,,,,,,,,,,,,,,
2020-02-04,AL,,,,,,,,,,,,,,,,,,,,
2020-02-05,AL,,,,,,,,,,,,,,,,,,,,
2020-02-06,AL,,,,,,,,,,,,,,,,,,,,
2020-02-07,AL,,,,,,,,,,,,,,,,,,,,
2020-02-08,AL,,,,,,,,,,,,,,,,,,,,
2020-02-09,AL,,,,,,,,,,,,,,,,,,,,
2020-02-10,AL,,,,,,,,,,,,,,,,,,,,
2020-02-11,AL,,,,,,,,,,,,,,,,,,,,
2020-02-12,AL,,,,,,,,,,,,,,,,,,,,
2020-02-13,AL,,,,,,,,,,,,,,,,,,,,
2020-02-14,AL,,,,,,,,,,,,,,,,,,,,
2020-02-15,AL,,,,,,,,,,,,,,,,,,,,
2020-02-16,AL,,,,,,,,,,,,,,,,,,,,
2020-02-17,AL,,,,,,,,,,,,,,,,,,,,
2020-02-18,AL,,,,,,,,,,,,,,,,,,,,
2020-02-19,AL,,,,,,,,,,,,,,,,,,,,
2020-02-20,AL,,,,,,,,,,,,,,,,,,,,
2020-02-21,AL,,,,,,,,,,,,,,,,,,,,
2020-02-22,AL,,,,,,,,,,,,,,,,,,,,
2020-02-23,AL,,,,,,,,,,,,,,,,,,,,
2020-02-24,AL,,,,,,,,,,,,,,,,,,,,
2020-02-25,AL,,,,,,,,,,,,,,,,,,,,
2020-02-26,AL,,,,,,,,,,,,,,,,,,,,
2020-02-27,AL,,,,,,,,,,,,,,,,,,,,
2020-02-28,AL,,,,,,,,,,,,,,,,,,,,
2020-02-29,AL,,,,,,,,,,,,,,,,,,,,
2020-03-01,AL,,,,,,,,,,,,,,,,,,,,
2020-03-02,AL,,,,,,,,,,,,,,,,,,,,
2020-03-03,AL,,,,,,,,,,,,,,,,,,,,
2020-03-04,AL,,,,,,,,,,,,,,,,,,,,
2020-03-05,AL,,,,,,,,,,,,,,,,,,,,
2020-03-06,AL,,,,,,,,,,,,,,,,,,,,
2020-03-07,AL,,,,,,,,,,,,,,,,,,,,
2020-03-08,AL,,,,,,,,,,,,,,,,,,,,
2020-03-09,AL,,,,,,,,,,,,,,,,,,,,
2020-03-10,AL,,,,,,,,,,,,,,,,,,,,
2020-03-11,AL,,,,,,,,,,,,,,,,,,,,
2020-03-12,AL,,,,,,,,,,,,,,,,,,,,
2020-03-13,AL,6.0,0.12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,11.0,0.0,0.0,1.0,0.0,0.0,,
2020-03-14,AL,12.0,0.25,6.0,0.0,0.0,100.0,0.0,,0.0,0.0,,,22.0,0.0,0.0,6.0,0.0,0.0,,
2020-03-15,AL,23.0,0.47,11.0,0.0,0.0,91.67,0.0,,0.0,0.0,,,28.0,0.0,0.0,12.0,0.0,0.0,,
2020-03-16,AL,29.0,0.6,6.0,0.0,0.0,26.09,0.0,,0.0,0.0,,,28.0,0.0,0.0,28.0,0.0,0.0,,
2020-03-17,AL,39.0,0.8,10.0,0.0,0.0,34.48,0.0,,0.0,0.0,,,28.0,0.0,0.0,36.0,0.0,0.0,,
2020-03-18,AL,51.0,1.05,12.0,0.0,0.0,30.77,0.0,,0.0,0.0,,,28.0,0.0,0.0,46.0,0.0,0.0,,
2020-03-19,AL,78.0,1.6,27.0,0.0,0.0,52.94,0.0,,0.0,0.0,,,28.0,0.0,0.0,68.0,0.0,0.0,,
2020-03-20,AL,106.0,2.18,28.0,0.0,0.0,35.9,0.0,,0.0,0.0,,,28.0,0.0,0.0,81.0,100.0,0.0,1666.67,
2020-03-21,AL,131.0,2.69,25.0,0.0,0.0,23.58,0.0,,0.0,0.0,,,28.0,0.0,0.0,124.0,119.0,0.0,991.67,
