date,stock.DJI.Open,stock.DJI.Open.sma,stock.DJI.Close,stock.DJI.Close.sma,stock.DJI.High,stock.DJI.High.sma,stock.DJI.Low,stock.DJI.Low.sma,stock.DJI.Volume,stock.DJI.Volume.sma,stock.VIX.Open,stock.VIX.Open.sma,stock.VIX.Close,stock.VIX.Close.sma,stock.VIX.High,stock.VIX.High.sma,stock.VIX.Low,stock.VIX.Low.sma,stock.VIX.Volume,stock.VIX.Volume.sma,stock.JETS.Open,stock.JETS.Open.sma,stock.JETS.Close,stock.JETS.Close.sma,stock.JETS.High,stock.JETS.High.sma,stock.JETS.Low,stock.JETS.Low.sma,stock.JETS.Volume,stock.JETS.Volume.sma,stock.DJI.Open.wavg,stock.DJI.Close.wavg,stock.DJI.High.wavg,stock.DJI.Low.wavg,stock.DJI.Volume.wavg,stock.VIX.Open.wavg,stock.VIX.Close.wavg,stock.VIX.High.wavg,stock.VIX.Low.wavg,stock.VIX.Volume.wavg,stock.JETS.Open.wavg,stock.JETS.Close.wavg,stock.JETS.High.wavg,stock.JETS.Low.wavg,stock.JETS.Volume.wavg
2019-01-02,23058.609375,,23346.240234375,,23413.470703125,,22928.58984375,,321570000.0,,27.540000915527344,,23.219999313354492,,28.530000686645508,,23.049999237060547,,0.0,,27.530000686645508,,28.049999237060547,,28.079999923706055,,27.209999084472656,,137700.0,,,,,,,,,,,,,,,,
2019-01-03,23176.390625,,22686.220703125,,23176.390625,,22638.41015625,,424240000.0,,25.68000030517578,,25.450000762939453,,26.600000381469727,,24.049999237060547,,0.0,,27.639999389648438,,26.829999923706055,,27.639999389648438,,26.459999084472656,,49200.0,,,,,,,,,,,,,,,,
2019-01-04,22894.919921875,,23433.16015625,,23518.640625,,22894.919921875,,396020000.0,,24.360000610351562,,21.3799991607666,,24.479999542236328,,21.190000534057617,,0.0,,27.31399917602539,,27.989999771118164,,28.09000015258789,,27.049999237060547,,24800.0,,,,,,,,,,,,,,,,
2019-01-05,22894.919921875,,23433.16015625,,23518.640625,,22894.919921875,,396020000.0,,24.360000610351562,,21.3799991607666,,24.479999542236328,,21.190000534057617,,0.0,,27.31399917602539,,27.989999771118164,,28.09000015258789,,27.049999237060547,,24800.0,,,,,,,,,,,,,,,,
2019-01-06,22894.919921875,,23433.16015625,,23518.640625,,22894.919921875,,396020000.0,,24.360000610351562,,21.3799991607666,,24.479999542236328,,21.190000534057617,,0.0,,27.31399917602539,,27.989999771118164,,28.09000015258789,,27.049999237060547,,24800.0,,23043.306640625,23155.20703125,23369.500651041668,22820.639973958332,380610000.0,25.860000610351562,23.349999745686848,26.536666870117188,22.763333002726238,0.0,27.494666417439777,27.623332977294922,27.93666648864746,26.906665802001953,70566.66666666667
2019-01-07,23474.259765625,,23531.349609375,,23687.740234375,,23301.58984375,,334200000.0,,22.059999465942383,,21.399999618530273,,22.709999084472656,,20.90999984741211,,0.0,,28.030000686645508,,28.299999237060547,,28.450000762939453,,27.760000228881836,,25100.0,,23043.306640625,23155.20703125,23369.500651041668,22820.639973958332,380610000.0,25.860000610351562,23.349999745686848,26.536666870117188,22.763333002726238,0.0,27.494666417439777,27.623332977294922,27.93666648864746,26.906665802001953,70566.66666666667
2019-01-08,23680.3203125,23256.9,23787.44921875,23356.883984375,23864.650390625,23532.178515625,23581.44921875,23068.991796875,317420000.0,358690000.0,20.959999084472656,24.120000076293945,20.469999313354492,22.383999633789063,22.030000686645508,24.870000076293945,20.09000015258789,21.857999801635742,0.0,0.0,28.559999465942383,27.814799880981447,28.31999969482422,27.897999572753907,28.559999465942383,28.163999938964842,28.100000381469727,27.315999603271486,12400.0,49840.0,23043.306640625,23155.20703125,23369.500651041668,22820.639973958332,380610000.0,25.860000610351562,23.349999745686848,26.536666870117188,22.763333002726238,0.0,27.494666417439777,27.623332977294922,27.93666648864746,26.906665802001953,70566.66666666667
2019-01-09,23844.26953125,23414.03203125,23879.119140625,23463.459765625,24084.7109375,23666.4265625,23703.16015625,23223.905859375,324570000.0,359290000.0,20.440000534057617,22.7,19.979999542236328,21.73599967956543,22.799999237060547,23.723999786376954,19.479999542236328,21.1439998626709,0.0,0.0,28.31999969482422,27.972799682617186,28.850000381469727,28.05799980163574,28.891000747680664,28.326200103759767,28.31999969482422,27.5379997253418,26900.0,27680.0,23043.306640625,23155.20703125,23369.500651041668,22820.639973958332,380610000.0,25.860000610351562,23.349999745686848,26.536666870117188,22.763333002726238,0.0,27.494666417439777,27.623332977294922,27.93666648864746,26.906665802001953,70566.66666666667
2019-01-10,23811.109375,23540.97578125,24001.919921875,23726.599609375,24014.779296875,23834.104296875,23703.25,23436.873828125,338150000.0,342072000.0,20.979999542236328,21.75999984741211,19.5,20.54599952697754,21.31999969482422,22.66799964904785,19.290000915527344,20.19200019836426,0.0,0.0,28.059999465942383,28.056799697875977,28.719999313354492,28.43599967956543,28.731000900268555,28.54440040588379,27.56999969482422,27.75999984741211,18300.0,21500.0,23043.306640625,23155.20703125,23369.500651041668,22820.639973958332,380610000.0,25.860000610351562,23.349999745686848,26.536666870117188,22.763333002726238,0.0,27.494666417439777,27.623332977294922,27.93666648864746,26.906665802001953,70566.66666666667
2019-01-11,23940.009765625,23749.99375,23995.94921875,23839.157421875,23996.3203125,23929.640234375,23798.16015625,23617.521875,262650000.0,315398000.0,19.68000030517578,20.82399978637695,18.190000534057617,19.907999801635743,20.15999984741211,21.80399971008301,18.1200008392334,19.578000259399413,0.0,0.0,28.579999923706055,28.309999847412108,28.709999084472656,28.57999954223633,28.729999542236328,28.672400283813477,28.479999542236328,28.045999908447264,11000.0,18740.0,23043.306640625,23155.20703125,23369.500651041668,22820.639973958332,380610000.0,25.860000610351562,23.349999745686848,26.536666870117188,22.763333002726238,0.0,27.494666417439777,27.623332977294922,27.93666648864746,26.906665802001953,70566.66666666667
